fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,type
8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,white
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,red
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,red
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,red
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,white
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,white
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,red
6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,white
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,red
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,white
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,white
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,red
6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,white
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,red
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,white
6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,white
7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,red
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,red
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,white
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,white
7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,red
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,red
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,white
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,red
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,white
6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,white
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,red
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,red
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,red
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,red
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,red
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,white
8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,red
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667,red
10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,red
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,white
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,red
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,red
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,red
7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,red
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,red
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,white
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,white
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,white
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,red
7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,white
7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,red
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,red
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,red
7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,white
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,white
7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,white
6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,white
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,white
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,white
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,white
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,red
6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,white
7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,white
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,white
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,white
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,red
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,white
7.1,0.36,0.4,1.95,0.033,26,118,0.98934,3.2,0.45,13.5,white
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,white
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,red
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,white
7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,white
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,white
6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,white
7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,white
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,red
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,red
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,white
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,white
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,red
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,white
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,red
7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,white
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,red
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,white
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,red
5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,white
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,red
8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,white
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,white
6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,white
5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,red
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,white
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,white
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,red
5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,white
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,white
6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,white
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,white
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,red
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,white
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,red
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,red
5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,white
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,red
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,white
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,red
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,white
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,red
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,white
8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,white
7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,white
9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,red
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,white
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,red
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,red
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,white
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,red
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,white
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,red
6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,white
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,red
6.8,0.2,0.25,6.2,0.052,22,106,0.9935,3.09,0.54,10.8,white
8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,red
9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,red
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,white
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,red
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,white
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,red
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,red
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,white
7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,white
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,white
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,red
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,white
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,red
7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,red
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,white
6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,white
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,red
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,red
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,red
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,red
8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,white
7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,red
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,red
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,red
6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,white
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,red
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,red
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,red
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,white
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,red
6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,white
6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,white
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,red
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,white
6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,red
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,white
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,red
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,white
6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,white
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,red
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,red
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,red
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,red
10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,red
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,red
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,red
9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,red
4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,white
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,white
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,red
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,red
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,white
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,red
6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,red
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,red
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,white
8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,red
7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,white
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,white
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,red
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,red
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,red
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,red
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,red
6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,white
9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,red
6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,white
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,white
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,white
6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,white
8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,red
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,red
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,white
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,white
9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,red
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,red
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,red
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,red
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,white
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,white
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,red
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,white
7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,white
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,white
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,white
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,white
8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,red
7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,white
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,red
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,red
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,red
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,white
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,white
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,red
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,red
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,white
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,white
6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,white
8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,white
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,red
5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,white
5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,white
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,red
7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,white
8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,white
6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,white
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,white
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,red
6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,white
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,red
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,red
7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,white
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,red
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,red
8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,white
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,white
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,red
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,red
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,red
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,white
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,white
9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,red
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,white
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,red
